[15:05:43] [INFO] received Windows console close event; shutting log-core down
[15:06:55] [INFO] received Windows console close event; shutting log-core down
[15:10:49] [INFO] received Windows console close event; shutting log-core down
[15:15:35] [INFO] received Windows console close event; shutting log-core down
[15:37:39] [INFO] received Windows console close event; shutting log-core down
[15:39:35] [INFO] received Windows console close event; shutting log-core down
[15:44:13] [INFO] received Windows console close event; shutting log-core down
[15:48:09] [INFO] received Windows console close event; shutting log-core down
[15:58:35] [INFO] received Windows console close event; shutting log-core down
[16:38:05] [INFO] received Windows console close event; shutting log-core down
[16:39:03] [INFO] received Windows console close event; shutting log-core down
[18:31:16] [INFO] received Windows console close event; shutting log-core down
[18:45:21] [INFO] received Windows console close event; shutting log-core down
[18:59:01] [INFO] received Windows console close event; shutting log-core down
[19:05:41] [INFO] received Windows console close event; shutting log-core down
[19:06:32] [INFO] received Windows console close event; shutting log-core down
[19:11:38] [INFO] received Windows console close event; shutting log-core down
[19:13:03] [INFO] received Windows console close event; shutting log-core down
[19:17:47] [INFO] received Windows console close event; shutting log-core down
[20:32:56] [INFO] received Windows console close event; shutting log-core down
[20:40:11] [INFO] received Windows console close event; shutting log-core down
[20:55:15] [INFO] received Windows console close event; shutting log-core down
[20:59:58] [INFO] received Windows console close event; shutting log-core down
[21:02:05] [INFO] received Windows console close event; shutting log-core down
[21:04:09] [INFO] received Windows console close event; shutting log-core down
[21:05:56] [INFO] received Windows console close event; shutting log-core down
[23:29:30] [INFO] received Windows console close event; shutting log-core down
[02:30:23] [INFO] received Windows console close event; shutting log-core down
[02:34:54] [INFO] received Windows console close event; shutting log-core down
[11:36:40] [INFO] received Windows console close event; shutting log-core down
[11:39:06] [INFO] received Windows console close event; shutting log-core down
[11:42:57] [INFO] received Windows console close event; shutting log-core down
[11:57:42] [INFO] received Windows console close event; shutting log-core down
[12:04:29] [INFO] received Windows console close event; shutting log-core down
[12:05:47] [INFO] received Windows console close event; shutting log-core down
[12:13:46] [INFO] received Windows console close event; shutting log-core down
[12:16:01] [INFO] received Windows console close event; shutting log-core down
[12:17:51] [INFO] received Windows console close event; shutting log-core down
[12:22:54] [INFO] received Windows console close event; shutting log-core down
[12:32:12] [INFO] received Windows console close event; shutting log-core down
[12:34:20] [INFO] received Windows console close event; shutting log-core down
[12:36:59] [INFO] received Windows console close event; shutting log-core down
[12:39:34] [INFO] received Windows console close event; shutting log-core down
[16:37:18] [INFO] received Windows console close event; shutting log-core down
[16:43:58] [INFO] received Windows console close event; shutting log-core down
[16:54:53] [INFO] received Windows console close event; shutting log-core down
[17:01:01] [INFO] received Windows console close event; shutting log-core down
[17:03:36] [INFO] received Windows console close event; shutting log-core down
[18:18:42] [INFO] received Windows console close event; shutting log-core down
